,title,company,salary,summary
0,Capgemini,Capgemini,,Automation tools Python Python 3 x advanced level lists dictionaries classes packages code repositories schedule jobs for enterprise data migration conversion…
1,Capgemini,Capgemini,,"Experience in Python, with knowledge of at least one Python web framework, such as Django, Flask, etc depending on your technology stack."
2,Molars Technologies pvt. ltd. jobs,Molars Technologies pvt. ltd.,"₹4,00,000 - ₹9,00,000 a year",. Comfortable with back-end coding languages.. Comfortable in development frameworks and third-party librariese.Total work: 2 years (Preferred).
3,Molars Technolgies Pvt. Ltd. jobs,Molars Technolgies Pvt. Ltd.,"₹4,00,000 - ₹9,00,000 a year","As a Python Developer, you should be comfortable with back-end coding languages.Development frameworks and third-party libraries."
4,Infosys Limited,Infosys Limited,,"Applications,Master Of Science,Master Of Technology,Bachelor of Engineering.A day in the life of an Infoscion • As part of the Infosys consulting team, your…"
5,Mindstix Software Labs Private Limited jobs,Mindstix Software Labs Private Limited,"₹18,000 - ₹50,000 a month","Work on the latest technologies in the tech space - microservices, Spring Cloud, Netflix OSS, Dockers, Kubernetes with some of the most skilled brains in the…"
6,Citi,Citi,,The Applications Development Intermediate Programmer Analyst is an intermediate level position responsible for participation in the establishment and…
7,ITCube Solutions Pvt Ltd,ITCube Solutions Pvt Ltd,"₹4,00,000 - ₹10,00,000 a year",Exposure to any relational database (SQL Server/ MySQL/ PostgreSQL).Exposure to basics of AI/ ML.Temporarily due to COVID-19.
8,Aress Software & Education Technologies Pvt. Ltd jobs,Aress Software & Education Technologies Pvt. Ltd,"₹3,00,000 - ₹9,00,000 a year",Develop back-end components to improve responsiveness and overall performance.Integrate user-facing elements into applications.
9,Ellicium jobs,Ellicium,"₹3,04,574 - ₹14,56,464 a year",Review existing python solutions for quality and provide feedback.Ability to learn new python skills to deliver solutions.Temporarily due to COVID-19.
10,RajYug IT Solutions Pvt Ltd jobs,RajYug IT Solutions Pvt Ltd,"₹7,00,000 a year",Minimum 2 years of experience in Python and Django(Mandatory).Minimum 5 years of relevant experience.Familiarity with event - driven programming in Python.
11,FlexTrade,FlexTrade,,"Located in Great Neck, NY with offices in North America, Europe and Asia, FlexTrade maintains an experienced staff of developers, programmers, strategists and…"
12,Luxoft,Luxoft,,We've been engaged by a large Australian financial institution to provide resources to their FRTB Market Risk project.
13,Shyena Tech Yarns Pvt Ltd jobs,Shyena Tech Yarns Pvt Ltd,"₹2,00,000 - ₹3,00,000 a year","The primary focus will be on development using technologies Python, Django, RDBMS Database and Javascript.Create technical documentation and unit testing for…"
14,Keywordio jobs,Keywordio,"₹3,60,000 a year",Expert in Python and Django framework.Expert in developing backend application with RESTful API's Using Django Rest Framework.
15,Molars Technologies pvt. ltd. jobs,Molars Technologies pvt. ltd.,"₹4,00,000 - ₹9,00,000 a year",. Comfortable with back-end coding languages.. Comfortable in development frameworks and third-party librariese.Total work: 2 years (Preferred).
16,Mindstix Software Labs Private Limited jobs,Mindstix Software Labs Private Limited,"₹18,000 - ₹50,000 a month","Work on the latest technologies in the tech space - microservices, Spring Cloud, Netflix OSS, Dockers, Kubernetes with some of the most skilled brains in the…"
17,Capgemini,Capgemini,,Automation tools Python Python 3 x advanced level lists dictionaries classes packages code repositories schedule jobs for enterprise data migration conversion…
18,Molars Technolgies Pvt. Ltd. jobs,Molars Technolgies Pvt. Ltd.,"₹4,00,000 - ₹9,00,000 a year","As a Python Developer, you should be comfortable with back-end coding languages.Development frameworks and third-party libraries."
19,Infosys Limited,Infosys Limited,,"Applications,Master Of Science,Master Of Technology,Bachelor of Engineering.A day in the life of an Infoscion • As part of the Infosys consulting team, your…"
20,Ellicium jobs,Ellicium,"₹3,04,574 - ₹14,56,464 a year",Review existing python solutions for quality and provide feedback.Ability to learn new python skills to deliver solutions.Temporarily due to COVID-19.
21,Aress Software & Education Technologies Pvt. Ltd jobs,Aress Software & Education Technologies Pvt. Ltd,"₹3,00,000 - ₹9,00,000 a year",Develop back-end components to improve responsiveness and overall performance.Integrate user-facing elements into applications.
22,Capgemini,Capgemini,,"Experience in Python, with knowledge of at least one Python web framework, such as Django, Flask, etc depending on your technology stack."
23,ITCube Solutions Pvt Ltd,ITCube Solutions Pvt Ltd,"₹4,00,000 - ₹10,00,000 a year",Exposure to any relational database (SQL Server/ MySQL/ PostgreSQL).Exposure to basics of AI/ ML.Temporarily due to COVID-19.
24,Citi,Citi,,The Applications Development Intermediate Programmer Analyst is an intermediate level position responsible for participation in the establishment and…
25,Indian Essential jobs,Indian Essential,,"Candidate can start Internship Immediately.Candidates having no basic Knowledge can Join.Job Types: Part-time, Internship."
26,UBS,UBS,,The Asset Management is looking for an experienced hands on full stack developer of diverse experience in designing and managing innovative solutions in Asset…
27,Citi,Citi,,"Develop a digital solution with to capture the top risk inventory, build reporting and monitoring capabilities for further integration of top risks and material…"
28,RajYug IT Solutions Pvt Ltd jobs,RajYug IT Solutions Pvt Ltd,"₹7,00,000 a year",Minimum 2 years of experience in Python and Django(Mandatory).Minimum 5 years of relevant experience.Familiarity with event - driven programming in Python.
29,Luxoft,Luxoft,,We've been engaged by a large Australian financial institution to provide resources to their FRTB Market Risk project.
30,Molars Technologies pvt. ltd. jobs,Molars Technologies pvt. ltd.,"₹4,00,000 - ₹9,00,000 a year",. Comfortable with back-end coding languages.. Comfortable in development frameworks and third-party librariese.Total work: 2 years (Preferred).
31,Mindstix Software Labs Private Limited jobs,Mindstix Software Labs Private Limited,"₹18,000 - ₹50,000 a month","Work on the latest technologies in the tech space - microservices, Spring Cloud, Netflix OSS, Dockers, Kubernetes with some of the most skilled brains in the…"
